refA,refB
0,1
0,3
0,7
0,34
0,48
1,0
1,2
1,12
1,18
1,22
1,23
2,1
2,3
2,4
2,5
3,0
3,2
3,12
3,18
4,2
4,5
4,8
5,2
5,4
5,6
6,5
6,7
6,9
7,0
7,6
7,8
7,12
7,14
7,24
7,52
8,4
8,7
8,9
9,6
9,8
9,10
10,9
10,11
10,34
10,49
10,59
11,10
11,12
12,1
12,3
12,7
12,11
12,34
12,41
12,49
12,53
12,59
13,14
13,15
13,18
13,23
14,7
14,13
15,13
15,16
15,17
16,15
16,17
17,15
17,16
17,18
17,23
18,1
18,3
18,13
18,17
18,19
18,20
18,24
18,60
19,18
19,20
19,23
19,25
19,38
19,54
20,18
20,19
20,21
20,30
20,34
20,39
20,53
21,20
22,1
23,1
23,13
23,17
23,19
23,24
23,25
23,60
24,7
24,18
24,23
24,25
24,50
24,52
25,19
25,23
25,24
25,26
25,27
25,28
25,30
25,36
26,25
26,27
26,28
26,30
26,40
27,25
27,26
27,28
27,46
27,47
28,25
28,26
28,27
28,29
28,45
29,28
29,30
29,45
29,57
30,20
30,25
30,26
30,29
30,31
30,34
30,35
30,39
30,42
31,30
31,33
31,34
32,33
32,34
33,31
33,32
34,0
34,10
34,12
34,20
34,30
34,31
34,32
34,39
34,42
34,43
35,30
36,25
36,37
37,36
37,38
38,19
38,37
39,20
39,30
39,34
39,40
39,41
39,44
40,26
40,39
40,41
40,47
41,12
41,39
41,40
41,42
41,49
42,30
42,34
42,41
43,34
44,39
44,45
44,46
45,28
45,29
45,44
45,46
46,27
46,44
46,45
46,47
47,27
47,40
47,46
48,0
48,49
49,10
49,12
49,41
49,48
50,24
50,51
51,50
52,7
52,24
52,53
53,12
53,20
53,52
54,19
54,55
55,54
55,56
55,58
56,55
56,57
57,29
57,56
57,58
58,55
58,57
59,10
59,12
60,18
60,23
