Ref,x,y,Connectivity,Point First Moment,Point Second Moment,Visual Entropy,Visual Integration [HH],Visual Integration [P-value],Visual Integration [Tekl],Visual Mean Depth,Visual Node Count,Visual Relativised Entropy
65592,0.68,7.04,91,28.691513,11.32,1.887798,3.5120308,0.36869723,0.81978363,3.7046871,4332,2.7721348
65593,0.68,7.08,102,38.375195,22.076799,1.9300768,3.5496056,0.37264186,0.8207159,3.6760564,4332,2.724683
65594,0.68,7.12,135,73.011009,62.731201,1.9702156,3.8679888,0.40606612,0.82831925,3.4557838,4332,2.5786514
65595,0.68,7.16,136,72.054672,61.1968,1.9697683,3.8676252,0.40602794,0.82831085,3.4560149,4332,2.5792432
65596,0.68,7.2,106,42.236126,26.406401,1.9232297,3.533751,0.37097743,0.82032347,3.6880629,4332,2.7368543
65597,0.68,7.24,84,27.227448,11.824,1.8813521,3.5027611,0.36772406,0.81955242,3.7118449,4332,2.7795966
65599,0.68,7.32,81,22.344883,7.3119998,2.061763,2.4665704,0.25894353,0.78998667,4.8510737,4332,3.1436384
65600,0.68,7.36,89,23.430403,7.4815998,2.1242051,2.8280697,0.29689416,0.80125856,4.3588085,4332,2.8814135
65601,0.68,7.4,91,23.329962,7.2992001,2.1248193,2.828264,0.29691455,0.80126435,4.3585777,4332,2.8810198
65602,0.68,7.44,90,23.028296,7.2096,2.1241727,2.8274865,0.29683292,0.80124134,4.3595014,4332,2.8814561
65603,0.68,7.48,84,22.413893,7.2863998,2.1181614,2.8208947,0.29614091,0.80104625,4.3673515,4332,2.8859816
65604,0.68,7.52,82,23.040989,7.7199998,2.0889034,2.8013024,0.2940841,0.80046439,4.390903,4332,2.913904
65606,0.68,7.6,87,38.340282,26.313601,1.9917219,3.1185513,0.32738927,0.80951613,4.045948,4332,2.8501375
65607,0.68,7.64,97,44.365986,32.124802,2.0087318,3.1325614,0.32886007,0.80989879,4.0323253,4332,2.8342772
65608,0.68,7.68,108,51.783161,38.5056,2.0141499,3.1366215,0.32928631,0.81000942,4.0283999,4332,2.8299561
65609,0.68,7.72,109,53.244698,39.591999,2.0144916,3.1368608,0.3293114,0.81001592,4.0281692,4332,2.8297126
65610,0.68,7.76,95,38.697723,23.264,2.008415,3.1325614,0.32886007,0.80989879,4.0323253,4332,2.8344023
131128,0.72,7.04,102,32.769993,13.744,1.9286364,3.5453231,0.37219226,0.82061005,3.6792889,4332,2.7285223
131129,0.72,7.08,113,40.958103,22.486401,1.9600154,3.5770741,0.37552553,0.82139254,3.6555068,4332,2.6932118
